product_id;producttitel;seo_titel;meta_description
11994355269896;Theeblik 100 gram Sara Miller Filigree;Theeblik Sara Miller Filigree 100 gram | Tante Rie;Vierkant theeblik uit de Filigree collectie van Sara Miller London. Past 100 gram losse thee in en sluit goed af, zodat je thee vers blijft.
11994355433736;Theeblik 100 gram Sara Miller Haveli - Paars;Theeblik Sara Miller Haveli Paars 100 gram | Tante Rie;Paars theeblik uit de Haveli collectie van Sara Miller London. Voor 100 gram losse thee, met een deksel die goed afsluit. Mooi in de keukenkast.
11994355597576;Theeblik 100 gram Sara Miller Chelsea - Roze;Theeblik Sara Miller Chelsea Roze 100 gram | Tante Rie;Roze theeblik uit de Chelsea collectie van Sara Miller London. Hier gaat 100 gram losse thee in en de deksel sluit goed, dus je thee blijft vers.
11994355826952;Theeblik 100 gram Sara Miller Green Birds;Theeblik Sara Miller Green Birds 100 gram | Tante Rie;Theeblik met groene vogels van Sara Miller London. Voor 100 gram losse thee, met een goed sluitende deksel. Ook leuk om cadeau te doen met thee erin.
11995546288392;Theeblik 100 gram Sanderson Chinoiserie Hall;Theeblik Sanderson Chinoiserie Hall 100 gram | Tante Rie;Vierkant theeblik uit de Chinoiserie Hall collectie van Sanderson. Past 100 gram losse thee in en sluit goed af, zodat de smaak bewaard blijft.
11996484862216;Rice Q;Rice melamine beker letter Q | Tante Rie;Melamine beker van Rice met de letter Q. Een letter die je niet vaak ziet, dus een leuk cadeau. Combineer letters tot een naam. Niet voor de magnetron.
12001254801672;Thee-ei - Hartvorm met uitlekschaaltje;Thee-ei hartvorm met uitlekschaaltje | Tante Rie;Thee-ei in de vorm van een hartje, met een schaaltje om hem op neer te leggen. Voor een kopje losse thee. Van Arelo, te koop bij Tante Rie in Borne.
12011873763592;Vierkante kom 170 ml;Bunzlau Castle vierkante kom 170 ml | Tante Rie;Vierkante kom van 170 ml van Bunzlau Castle, met de hand gestempeld in Polen. Er zijn 30 decors. Af te halen in onze winkel in Borne.
12012033016072;Theepot 2000 ml;Bunzlau Castle theepot 2000 ml | Tante Rie;Grote theepot van 2 liter van Bunzlau Castle. Handgemaakt Pools aardewerk dat de warmte goed vasthoudt. In 26 decors, af te halen in Borne.
12012046549256;Theetip Hart;Bunzlau Castle theetip hart | Tante Rie;Theetip in hartvorm van Bunzlau Castle, voor je natte theezakje of thee-ei. Met de hand gestempeld in Polen, in 43 decors. Af te halen in Borne.
12012053463304;Theelepel Hart;Bunzlau Castle theelepel hart | Tante Rie;Theelepel met een hartje van Bunzlau Castle. Handgemaakt Pools aardewerk, verkrijgbaar in 7 decors. Af te halen in onze winkel in Borne.
12012055265544;Theelepel;Bunzlau Castle theelepel | Tante Rie;Theelepel van Bunzlau Castle, met de hand gestempeld in Polen. Er zijn 41 decors, dus er past er altijd een bij je servies. Af te halen in Borne.
12015483715848;Rijstkom 300 ml;Bunzlau Castle rijstkom 300 ml | Tante Rie;Rijstkom van 300 ml van Bunzlau Castle, handgemaakt Pools aardewerk. Voor rijst, soep of een toetje. In 44 decors, af te halen in Borne.
12015600861448;Rijstkom 500 ml;Bunzlau Castle rijstkom 500 ml | Tante Rie;Rijstkom van 500 ml van Bunzlau Castle, met de hand gestempeld in Polen. Groot genoeg voor een maaltijd. In 43 decors, af te halen in Borne.
12015888007432;Ovenschaal Vierkant 3200 ml;Bunzlau Castle ovenschaal vierkant 3200 ml | Tante Rie;Vierkante ovenschaal van 3,2 liter van Bunzlau Castle. Handgemaakt Pools aardewerk dat de oven in kan. In 15 decors, af te halen in Borne.
12015679406344;Theemuts Streep;Bunzlau Castle theemuts streep | Tante Rie;Theemuts met strepen van Bunzlau Castle. Zet hem over je theepot en je thee blijft veel langer warm. Te koop bij Tante Rie in Borne.
12015680225544;Theemuts Ruit;Bunzlau Castle theemuts ruit | Tante Rie;Geruite theemuts van Bunzlau Castle. Over de theepot en je grote pot thee blijft lang warm. Te koop bij Tante Rie in Borne.
12017686184200;Melamine Bord Wild Flowers Ø: 25 cm;Bunzlau melamine bord Wild Flowers 25 cm | Tante Rie;Melamine bord van 25 cm met het decor Wild Flowers van Bunzlau Castle. Licht en stevig, fijn voor de camping, de picknick of op de boot.
12017690444040;Melamine Bord Dragonfly Garden Ø: 25 cm;Bunzlau melamine bord Dragonfly Garden 25 cm | Tante Rie;Melamine bord van 25 cm met het decor Dragonfly Garden van Bunzlau Castle. Licht en stevig, voor de camping, een picknick of op de boot.
12017690476808;Melamine Bord Fleur Fountain Ø: 25 cm;Bunzlau melamine bord Fleur Fountain 25 cm | Tante Rie;Melamine bord van 25 cm met het decor Fleur Fountain van Bunzlau Castle. Het Bunzlau blauw, maar dan licht en stevig voor buiten.
12017716461832;Melamine Bord Blooming Ø: 25 cm;Bunzlau melamine bord Blooming 25 cm | Tante Rie;Melamine bord van 25 cm met het decor Blooming van Bunzlau Castle. Licht en stevig, dus fijn op de camping, bij een picknick of op de boot.
12017746805000;Witte wijnglas Bubble 350 ml;Bunzlau Castle witte wijnglas Bubble 350 ml | Tante Rie;Witte wijnglas Bubble van 350 ml van Bunzlau Castle. Mooi naast je Bunzlau servies bij een etentje met familie of vrienden. Bij Tante Rie in Borne.
12017747296520;Waterglas Bubble 300 ml;Bunzlau Castle waterglas Bubble 300 ml | Tante Rie;Waterglas Bubble van 300 ml van Bunzlau Castle. Voor water, sap of ijsthee, en mooi naast je Bunzlau servies. Te koop bij Tante Rie in Borne.
12017767252232;Rode wijnglas Bubble 460 ml;Bunzlau Castle rode wijnglas Bubble 460 ml | Tante Rie;Rode wijnglas Bubble van 460 ml van Bunzlau Castle. Een ruim glas voor een goede rode wijn aan tafel. Te koop bij Tante Rie in Borne.
12013846823176;Pineut Cake | Pouchbag | Lemon Poppy Cake;Pineut Lemon Poppy Cake bakmix | Tante Rie;Bakmix van Pineut voor een luchtige citroencake met maanzaad. Gemaakt met hoogwaardige ingrediënten. Te koop bij Tante Rie in Borne.
12013854654728;Pineut Cake | Jar | Passionfruit Martini Cake;Pineut Passionfruit Martini Cake bakmix | Tante Rie;Bakmix van Pineut voor een friszoete cake met passievrucht, geïnspireerd op de cocktail. In een pot, dus ook leuk om cadeau te geven.
